,Unnamed: 0_x,Unnamed: 0.1_x,Player,Season,Team,League,Age_x,VORP_x,G_x,GS,MP_x,FG_x,FGA_x,2P_x,2PA_x,3P_x,3PA_x,FT_x,FTA_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,FG%_x,2P%_x,3P%_x,eFG%,FT%_x,TS%,Unnamed: 0_y,Unnamed: 0.1_y,College_x,Conf,G_y,MP_y,MP_G,FG_y,FGA_y,2P_y,2PA_y,3P_y,3PA_y,FT_y,FTA_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,Rk,Year_x,Lg,Rd,Pk,Tm,Age_y,Pos,Born,College_y,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%_y,2P%_y,3P%_y,FT%_y,WS,WS/48,Unnamed: 0,Year_y,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,VORP_y
0,56,56,Zach LaVine,2017-18,CHI,NBA,22,-0.1,24,24,27.3,5.7,14.8,3.9,9.7,1.8,5.1,3.6,4.5,0.4,3.5,3.9,3.0,1.0,0.2,1.8,2.3,16.7,0.383,0.405,0.341,0.442,0.813,0.499,74,74,UCLA,Pac-12,37,904.0,24.4,3.4,7.8,2.1,4.3,1.3,3.5,1.3,1.8,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2.0,9.4,420,2014,NBA,1,13,MIN,19.113,G,us,"University of California, Los Angeles",2015.0,2019.0,293.0,29.9,16.1,3.4,3.5,0.8,0.2,0.446,0.48100000000000004,0.373,0.8240000000000001,8.0,0.044000000000000004,276,2014,13.0,76.5,77.75,80.25,100.0,41.5,141.5,33.5,133.5,181.0,4.7,8.25,8.75,,10.42,3.19,1.1
3,32,32,Xavier Henry,2012-13,NOH,NBA,21,-0.7,50,2,12.5,1.3,3.2,1.2,3.0,0.1,0.2,1.2,1.8,0.4,1.4,1.8,0.3,0.3,0.1,0.6,1.4,3.9,0.41,0.413,0.364,0.422,0.63,0.481,41,41,Kansas,Big 12,36,990.0,27.5,4.5,9.8,2.6,5.3,1.9,4.6,2.5,3.2,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,671,2010,NBA,1,12,MEM,19.105999999999998,G,be,University of Kansas,2011.0,2015.0,185.0,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.013000000000000001,53,2010,12.0,77.25,78.5,83.25,105.0,36.5,141.5,28.5,133.5,210.0,4.7,8.75,10.0,8.0,11.1,3.18,-1.7
6,62,62,Willie Warren,2010-11,LAC,NBA,21,-0.1,19,0,7.1,0.7,1.8,0.4,1.1,0.3,0.8,0.3,0.4,0.1,0.6,0.6,1.4,0.3,0.0,0.4,0.8,1.9,0.371,0.4,0.333,0.443,0.75,0.48,3,3,Oklahoma,Big 12,57,1806.0,31.7,4.9,10.6,3.2,5.8,1.7,4.9,3.8,4.8,0.6,2.1,2.6,3.5,1.1,0.1,2.8,2.3,15.2,752,2010,NBA,2,54,LAC,20.25,G,us,University of Oklahoma,2011.0,2011.0,19.0,7.1,1.9,0.6,1.4,0.3,0.0,0.371,0.4,0.33299999999999996,0.75,0.2,0.065,84,2010,54.0,74.5,75.75,78.0,99.5,31.5,131.0,23.0,122.5,208.0,7.6,8.5,9.5,10.0,11.21,3.5,-0.1
7,46,46,Willie Cauley-Stein,2017-18,SAC,NBA,24,1.2,73,58,28.0,5.3,10.6,5.3,10.4,0.0,0.2,2.1,3.4,1.8,5.2,7.0,2.4,1.1,0.9,1.5,2.5,12.8,0.502,0.506,0.25,0.504,0.619,0.529,68,68,Kentucky,SEC,105,2575.0,24.5,3.3,5.6,3.3,5.6,0.0,0.0,1.4,2.8,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8.0,276,2015,NBA,1,6,SAC,21.316,F-C,us,University of Kentucky,2016.0,2019.0,295.0,24.0,10.1,6.4,1.6,0.9,0.8,0.534,0.536,0.222,0.611,17.4,0.11800000000000001,370,2015,6.0,83.25,84.5,87.0,111.0,,,,,242.0,6.3,9.5,9.0,,,,2.5
10,2,2,Wesley Iwundu,2018-19,ORL,NBA,24,-0.3,67,12,18.0,1.6,4.0,1.2,2.9,0.4,1.1,1.3,1.5,0.6,2.2,2.7,1.0,0.4,0.3,0.7,1.8,5.0,0.41,0.429,0.364,0.463,0.816,0.53,66,66,Kansas State,Big 12,132,3728.0,28.2,3.2,6.9,2.8,5.8,0.4,1.1,2.6,3.8,1.2,3.5,4.7,2.8,0.9,0.4,2.1,2.1,9.5,568,2017,NBA,2,33,ORL,22.19,F,us,Kansas State University,2018.0,2019.0,130.0,17.3,4.4,2.5,1.0,0.5,0.3,0.419,0.45799999999999996,0.304,0.787,2.5,0.054000000000000006,475,2017,33.0,77.5,78.75,85.0,105.5,36.0,141.5,31.5,137.0,193.0,4.0,8.75,9.5,,11.25,3.36,-0.7
12,17,17,Wayne Ellington,2011-12,MIN,NBA,24,-0.2,51,4,19.1,2.4,5.9,1.7,3.8,0.7,2.1,0.6,0.8,0.3,1.7,1.9,0.6,0.5,0.2,0.5,1.1,6.1,0.404,0.448,0.324,0.462,0.8,0.487,60,60,North Carolina,ACC,115,3278.0,28.5,5.4,11.6,3.4,6.6,2.0,5.0,2.0,2.5,1.1,3.0,4.1,2.2,0.9,0.1,1.5,1.5,14.7,273,2009,NBA,1,28,MIN,21.214000000000002,G,us,University of North Carolina,2010.0,2019.0,645.0,21.3,8.2,2.2,1.1,0.6,0.1,0.41,0.447,0.379,0.846,17.8,0.062,20,2009,28.0,76.25,77.25,78.5,100.0,38.0,138.0,31.5,131.5,202.0,5.5,,,13.0,11.14,3.2,-2.0
15,75,75,Wade Baldwin,2018-19,POR,NBA,22,-0.2,16,0,5.9,0.6,2.1,0.5,1.5,0.1,0.6,0.5,0.7,0.1,0.8,0.9,0.8,0.1,0.1,0.9,0.7,1.9,0.303,0.333,0.222,0.333,0.727,0.396,93,93,Vanderbilt,SEC,68,2011.0,29.6,3.4,8.0,2.2,5.1,1.2,2.9,3.5,4.4,0.4,3.6,4.1,4.8,1.3,0.2,2.3,2.5,11.6,925,2016,NBA,1,17,MEM,20.090999999999998,G,us,Vanderbilt University,2017.0,2019.0,56.0,10.3,3.1,1.2,1.4,0.4,0.2,0.355,0.38299999999999995,0.25,0.7759999999999999,-0.3,-0.027999999999999997,400,2016,17.0,74.5,76.0,83.25,100.0,38.0,138.0,32.5,132.5,202.0,5.2,9.0,9.75,,10.45,3.19,-0.6000000000000001
18,59,59,Victor Oladipo,2015-16,ORL,NBA,23,2.3,72,52,33.0,5.9,13.5,4.5,9.6,1.4,3.9,2.8,3.4,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16.0,0.438,0.475,0.348,0.489,0.83,0.534,88,88,Indiana,Big Ten,104,2558.0,24.6,3.9,7.3,3.4,5.9,0.5,1.4,2.5,3.5,2.0,3.2,5.2,1.7,1.5,0.5,2.0,2.4,10.7,210,2013,NBA,1,2,ORL,21.059,G,us,Indiana University,2014.0,2019.0,402.0,33.2,17.5,4.6,4.0,1.7,0.5,0.44299999999999995,0.48200000000000004,0.35200000000000004,0.7929999999999999,24.2,0.087,219,2013,2.0,75.25,76.25,81.25,100.5,42.0,142.5,33.0,133.5,213.0,6.6,8.75,9.25,15.0,10.69,3.25,4.3999999999999995
21,40,40,Tyus Jones,2017-18,MIN,NBA,21,0.9,82,11,17.9,1.8,4.0,1.3,2.4,0.5,1.6,0.9,1.0,0.2,1.4,1.6,2.8,1.2,0.1,0.7,1.3,5.1,0.457,0.528,0.349,0.526,0.877,0.5720000000000001,64,64,Duke,ACC,39,1322.0,33.9,3.5,8.3,2.3,5.1,1.2,3.2,3.7,4.2,0.5,3.0,3.5,5.6,1.5,0.1,1.9,1.2,11.8,413,2015,NBA,1,24,CLE,19.05,G,us,Duke University,2016.0,2019.0,247.0,17.7,5.1,1.5,3.3,1.0,0.1,0.419,0.46399999999999997,0.33299999999999996,0.8190000000000001,8.4,0.092,348,2015,24.0,72.25,74.0,77.0,97.0,32.5,129.5,26.5,123.5,185.0,6.5,8.25,8.75,2.0,11.89,3.32,0.6000000000000001
24,8,8,Tyshawn Taylor,2013-14,BRK,NBA,23,-0.5,23,3,11.7,1.3,4.0,1.2,3.4,0.1,0.5,1.0,1.3,0.1,0.5,0.7,1.6,0.5,0.0,1.3,1.3,3.9,0.341,0.354,0.25,0.35700000000000004,0.8,0.4270000000000001,84,84,Kansas,Big 12,146,4039.0,27.7,3.8,7.9,3.0,5.7,0.8,2.2,2.5,3.5,0.3,1.9,2.2,3.9,1.2,0.2,2.6,2.1,10.8,955,2012,NBA,2,41,POR,22.083000000000002,G,us,University of Kansas,2013.0,2014.0,61.0,8.0,2.9,0.5,0.9,0.4,0.0,0.354,0.353,0.36,0.684,-0.9,-0.08800000000000001,185,2012,41.0,74.75,76.0,78.25,97.5,36.5,134.0,32.0,129.5,177.0,4.2,8.75,8.75,,11.48,3.2,-0.8
